 fyear fmonth   fday   nday  nhour           rain           tair            par             vd          esoil             pc        jmax25t        jmax25g            mqt             rl        lambdat        lambdag             rr           asst           assg           etmt           etmg           su_1             zw             ws         spgfcf           infx
  2000      1      1   7306     17    0.47569E-06    0.31889E+02    0.46197E-03    0.20090E-01    0.54559E-04    0.10000E+01    0.31048E-03    0.17103E-03    0.33686E+04    0.28227E-05    0.15993E+04    0.25852E+04    0.70900E-07    0.14037E-01    0.28971E-01    0.86145E-04    0.20932E-03    0.82426E+00    0.87071E+01    0.97139E+01    0.17070E-03    0.00000E+00
  2000      1      1   7306     18    0.47569E-06    0.30811E+02    0.00000E+00    0.17307E-01    0.00000E+00    0.10000E+01    0.31048E-03    0.17103E-03    0.34098E+04    0.28610E-05    0.15993E+04    0.25852E+04    0.70900E-07   -0.48757E-02   -0.54240E-02    0.00000E+00    0.00000E+00    0.82836E+00    0.87070E+01    0.97151E+01    0.17068E-03    0.00000E+00
  2000      1      1   7306     19    0.47569E-06    0.29580E+02    0.00000E+00    0.14304E-01    0.00000E+00    0.10000E+01    0.31048E-03    0.17103E-03    0.34098E+04    0.28552E-05    0.15993E+04    0.25852E+04    0.70900E-07   -0.48657E-02   -0.54130E-02    0.00000E+00    0.00000E+00    0.83237E+00    0.87069E+01    0.97166E+01    0.17067E-03    0.00000E+00
  2000      1      1   7306     20    0.47569E-06    0.28451E+02    0.00000E+00    0.11710E-01    0.00000E+00    0.10000E+01    0.31048E-03    0.17103E-03    0.34098E+04    0.28127E-05    0.15993E+04    0.25852E+04    0.70900E-07   -0.47933E-02   -0.53324E-02    0.00000E+00    0.00000E+00    0.83951E+00    0.87068E+01    0.97181E+01    0.17065E-03    0.00000E+00
  2000      1      1   7306     21    0.47569E-06    0.27552E+02    0.00000E+00    0.97461E-02    0.00000E+00    0.10000E+01    0.31048E-03    0.17103E-03    0.34098E+04    0.27595E-05    0.15993E+04    0.25852E+04    0.70900E-07   -0.47026E-02   -0.52315E-02    0.00000E+00    0.00000E+00    0.84562E+00    0.87067E+01    0.97196E+01    0.17063E-03    0.00000E+00
  2000      1      1   7306     22    0.47569E-06    0.26848E+02    0.00000E+00    0.82703E-02    0.00000E+00    0.10000E+01    0.31048E-03    0.17103E-03    0.34098E+04    0.27087E-05    0.15993E+04    0.25852E+04    0.70900E-07   -0.46160E-02   -0.51352E-02    0.00000E+00    0.00000E+00    0.85078E+00    0.87066E+01    0.97212E+01    0.17061E-03    0.00000E+00
  2000      1      1   7306     23    0.47569E-06    0.26240E+02    0.00000E+00    0.70379E-02    0.00000E+00    0.10000E+01    0.31048E-03    0.17103E-03    0.34098E+04    0.26598E-05    0.15993E+04    0.25852E+04    0.70900E-07   -0.45327E-02   -0.50425E-02    0.00000E+00    0.00000E+00    0.85506E+00    0.87065E+01    0.97227E+01    0.17059E-03    0.00000E+00
  2000      1      1   7306     24    0.47569E-06    0.25670E+02    0.00000E+00    0.59163E-02    0.00000E+00    0.10000E+01    0.31048E-03    0.17103E-03    0.34098E+04    0.26106E-05    0.15993E+04    0.25852E+04    0.70900E-07   -0.44488E-02   -0.49492E-02    0.00000E+00    0.00000E+00    0.85854E+00    0.87063E+01    0.97243E+01    0.17057E-03    0.00000E+00
  2000      1      2   7307      1    0.11574E-08    0.25919E+02    0.00000E+00    0.24371E-02    0.00000E+00    0.10000E+01    0.31359E-03    0.17274E-03    0.34098E+04    0.26584E-05    0.16427E+04    0.42434E+04    0.71352E-07   -0.45304E-02   -0.50400E-02    0.00000E+00    0.00000E+00    0.86128E+00    0.87062E+01    0.97258E+01    0.17055E-03    0.00000E+00
  2000      1      2   7307      2    0.11574E-08    0.25502E+02    0.00000E+00    0.16278E-02    0.00000E+00    0.10000E+01    0.31359E-03    0.17274E-03    0.34098E+04    0.26213E-05    0.16427E+04    0.42434E+04    0.71352E-07   -0.44672E-02   -0.49696E-02    0.00000E+00    0.00000E+00    0.83862E+00    0.87061E+01    0.97256E+01    0.17053E-03    0.00000E+00
